recipe_title,url,record_health,vote_count,rating,description,cuisine,course,diet,prep_time,cook_time,ingredients,instructions,author,tags,category
Delicious Skillet Roasted Fondant Potatoes Recipe,https://www.archanaskitchen.com/fondant-potatoes-recipe,good,287,4.8919860627178,"Fondant Potatoes is a recipe which is popular in England and France. Fondant potatoes are very juicy from inside and tastes delicious. It is a perfect dish to make during rains to enjoy with your friends and family. Serve Fondant Potatoes with   or   of your choice to serve as a snack. If you like this recipe, you can also try other Potato recipes such as",French,Appetizer,Vegetarian,0 M,30 M,Potatoes (Aloo)|Garlic|Fresh Thyme leaves|Salt,"To begin making the Fondant Potatoes recipes, heat the butter over the medium heat in a |.|When the butter starts foaming, add the potatoes and fry until deep golden brown on one side for 5 to 6 minutes.|Turn over the potatoes and cook for further 5 to 6 minutes or until they turn golden-brown on both sides. You can also optionally cover the pan, so the steam makes the potatoes cook faster and they will get roasted at the same time.|Add garlic, cloves and fresh thyme in the butter.|Sprinkle a dash of salt and oregano flakes. Flip again gently to avoid breaking of the potatoes.|Place them on an absorbent paper to absorb the extra butter and serve it hot.|Serve Fondant Potatoes with | or | of your choice to serve as a snack.",Archana's Kitchen,Vegetarian Recipes|Healthy Recipes|Aloo Recipes (Potato & Baby Potato Recipes)|Party Starter & Appetizer Recipes|French Cuisine Recipes|Monsoon & Rainy Day Recipes|Fondant Recipes,Continental Party Appetizer & Starter Recipes
Mushroom And Quail Egg Gougere Recipe,https://www.archanaskitchen.com/mushroom-and-quail-egg-gougere-recipe,good,255,4.9137254901961,"Gougeres, quintessentially French, is basically choux pastry or cheese puff. These can be had on their own and make quite a delicious snack but the addition of mushrooms and quail eggs takes it a notch further and also makes it quite filling. Serve Mushroom And Quail Egg Gougere on its own as a snack for your house parties along with a glass of  .  If you like this recipe, you can also try other Mushroom recipes such as : ",French,World Breakfast,Eggetarian,10 M,75 M,All Purpose Flour (Maida)|Whole Eggs|Water|Cheddar cheese|Button mushrooms|Onion|Garlic|Salt|Balsamic Vinegar|Spring Onion (Bulb & Greens)|Red Chilli flakes|Coriander (Dhania) Leaves|Quail eggs,"To begin making the Mushroom And Quail Egg Gougere recipe, preheat |to 220 C. Lightly grease a baking tray with butter or baking spray and keep aside.|In a saucepan, add water and butter and heat gently till the butter melts. Bring to a rolling boil and take the saucepan off the heat. Immediately add the flour, all at once, beating well (I used a wooden spoon for this) until the mixture forms a ball. Keep aside to cool slightly.|Once the flour mixture has cooled, add the eggs one at a time, beating well after each addition. It will take a little time for the egg to mix in with the flour mixture, just keep at it, till you have a smooth mixture. Add the cheese and stir to mix.|Lightly sprinkle the baking tray with a little water. Place (lime size) spoonful’s of the mixture on the baking tray.|Bake in the preheated oven for 30-35 minutes or until the gougeres are nicely brown and crisp.|Remove from the oven when done and slit each one to let the steam escape. Let the gougeres cool before filling.|Clean and cut the mushrooms. Chop the onions and garlic, slice the green onions, and keep aside.|Heat the butter in a |, add the onions and sauté till it starts to change colour, then add the garlic and sauté for a minute or so, then add the mushrooms. The mushrooms will release water, cook till the liquids have almost dried up.|Add salt, soy sauce, balsamic vinegar, chili flakes and green onions. Further cook till the liquids have dried up completely. Add chopped fresh coriander.|To boil quail eggs (if using), put eggs in boiling water for one minute. Remove, cool slightly and peel.|The next step is to assemble the dish. Cut the gougeres in half, spoon mushrooms on one half, top with quail eggs, whole or cut in half (if using). You can either cover the gougere with the other half or serve open faced. Sprinkle some salt and chili flakes on the eggs if you like.|Serve Mushroom And Quail Egg Gougere on its own as a snack for your house parties.",Bhavita,Party Starter & Appetizer Recipes|Mushroom Recipes|New Year Party Recipes,Continental Party Appetizer & Starter Recipes
Eggless Cranberry Pistachio Biscotti Recipe ,https://www.archanaskitchen.com/eggless-cranberry-pistachio-biscotti-recipe,good,4677,4.7900363480864,"Cranberry Pistachio Biscotti Recipe is one of the authentic biscuits originated from Italy. It also is known as “Cattuccini” as the name means it is twice baked in the oven. They are very crunchy and dry so usually, they are dipped in a hot drink and consumed. They are usually oblong shaped and resembles the rusk texture. But the only difference is that they are filled with nuts, dry fruits, and essence which give it an extra crunch to the cookie. Serve the Cranberry Pistachio Biscotti Recipe for special festive seasons or just relish as a Tea Time snacks with some  . If you are looking for more cookie recipes here are some:",French,Dessert,Vegetarian,60 M,35 M,All Purpose Flour (Maida)|Baking powder|Oil|Sugar|Vanilla Extract|Pistachios|Cranberries|Salt,"To begin making the Cranberry Pistachio Biscotti Recipe|Add the flour, baking powder and salt in a bowl and mix well and keep aside.|In another bowl, add oil and sugar, whisk till it is creamy, and add in the cranberry and pistachios.|Now add the dry ingredients to the wet ingredients and combine till it forms a sticky dough. Cover the dough using a cling film and refrigerate for 10 minutes.|After 10 minutes take the dough out of the fridge.  Dust your hands with enough flour,roll the dough into a long log shape. About 5 centimeters wide.|Pre-heat the oven at 180 degrees for 10 minutes. Now place the log directly on a butter paper placed on a baking tray. Bake the dough for 25 minutes at 180 degrees till it forms a golden crust on the top.|Remove the dough and let it cool for 10 minutes. After the dough is cooled a little use a serrated knife and cut the log into half-inch thick biscuits. Do not use the sawing motion as it will crumble the Cranberry Pistachio Biscotti. Turn the cut edges on the tray, keep the biscuits close enough as they won't spread.|Bake it again, for 10 more minutes and take it out, turn the cookies over and bake it again for 10 more minutes.|Serve the Cranberry Pistachio Biscotti Recipe for special festive seasons or just relish as a Tea Time snacks with some |.",Archana's Kitchen,Tea Party Recipes|Healthy Kids Snack Recipes|Eggless Cake Recipes (Egg Free Cake)|Cranberry Recipes|Pistachio Recipes|After School Snack Recipes|Birthday Party Recipes|Oven Baked Recipe,Cookie & Biscuit Recipes
Baked Creamy Potato Gratin Recipe,https://www.archanaskitchen.com/baked-creamy-potato-gratin,good,815,4.9705521472393,"Baked and Creamy Potato Gratin along with fresh   and a Toast is a family favorite.It  If you like Gratins, then you must try some of our favorites  ",French,Dinner,Vegetarian,20 M,40 M,Fresh cream|Milk|Potatoes (Aloo)|Sweet Potatoes|Onions|Parmesan cheese|Rosemary|Nutmeg powder|Salt|Red Chilli flakes|Extra Virgin Olive Oil,"To begin making the Baked Creamy Potato Gratin Recipe, preheat oven to 170°C. Grease a 9 inch casserole/gratin dish and ovenproof dish with melted butter.|In a cast iron skillet or any other roasting pan you have. Add a tablespoon of oil to grease the pan. Add the sliced onions and saute them on low heat until soft and tender.|Combine the rosemary, cream and milk in a saucepan over low heat. Cook for 2 minutes stirring occasionally until it gets its first boil. |Arrange half potatoes and carrots over the base of the prepared dish. Sprinkle some roasted onions and season with salt, pepper, cinnamon and nutmeg. Pour over half the cream mixture. Continue layering with the remaining potato slices, onion, seasoning and cream mixture.|Cover with foil and place on a baking tray in the oven. Bake in oven for one hour or until potato is tender. Finally sprinkle the baked potatoes with parmesan cheese. Remove the foil and bake, uncovered 10-15 minutes until gorgeous and crispy on top.|Allow the baked potatoes to rest for 10 minutes before serving.|Serve the delicious Baked Creamy Potato Gratin, along with some wine, soup and a warm garlic bread this thanksgiving, christmas or the holiday season. ",Archana Doshi,Party Food Recipes|Aloo Recipes (Potato & Baby Potato Recipes)|Gratin Recipes|Thanksgiving Recipes,Continental Food Recipes
French Toast Recipe Flavored with Orange,https://www.archanaskitchen.com/french-toast-with-an-orange-twist-recipe,good,345,4.7507246376812,"French Toast With An Orange Twist Recipe made from zesty hung yogurt and orange segments as filling in the humble French toast makes your breakfast special. A low fat dessert masquerading as perfect delicious breakfast! Serve French Toast Recipe Flavored with Orange with coffee or  . If you like this recipe, you can also try",French,World Breakfast,Eggetarian,15 M,20 M,Whole Eggs|Caster Sugar|Orange Zest (Rind)|Fresh orange juice|Orange|Hung Curd (Greek Yogurt)|Sunflower Oil|Honey,"To begin making the French Toast Recipe Flavored with Orange, trim the crust from the bread slices. Slice diagonally into 2 parts. Keep aside.|Take the egg whites in a shallow bowl; add 2 teaspoons sugar, orange rind and orange juice. Whisk lightly, mix well.|Mix the orange segments and 1 teaspoon sugar into the hung curd. Apply half teaspoon hung curd on one diagonal slice of bread and sandwich with another diagonal slice of bread.|Repeat with the rest of the bread. Soak these sandwiched slices in the egg white mixture for a few seconds. Take care not to soak too much as the bread will become soggy and tear.|Heat a non stick skillet and grease lightly with oil. Shallow fry the French toast on medium heat till golden brown. Brush very lightly with butter. Drizzle honey on top.|Serve French Toast Flavored with Orange for a classic weekend breakfast along with a cup of hot coffee or |.",Archana's Kitchen,Breakfast Recipe Ideas|Orange Recipes,Toast Recipes
Caramelized Banana French Toast Recipe,https://www.archanaskitchen.com/caramelized-banana-french-toast-recipe,good,1343,4.915860014892,"Caramelized Banana French Toast is an irresistible breakfast option that takes little effort but tastes delicious. French Toast is a lovely breakfast or tea time treat and adding caramelized bananas to this classic recipe is a genius twist. This yields a crisp-from-the-outside and soft-on-the-inside toast with a ton of flavor and intensity lent by the caramelized bananas. It's a great and filling way to start your day. Serve Caramelized Banana French Toast along with   for an indulgent breakfast, or even pack it in a snack box. Either way, it is delicious! Other recipes that you can try are:",French,World Breakfast,Eggetarian,10 M,10 M,Whole Eggs|Milk|Vanilla Extract|Sugar|Cinnamon Powder (Dalchini)|Salt|Sugar|Ripe Bananas|Vanilla Extract,"To begin making the Caramelized Banana French Toast Recipe first whisk together all the ingredients mentioned under french toast except bread and butter.|Place a pan on a medium heat and melt some butter in it.|Dip each thick slice of bread in the eggy mixture, soak it on both sides, and then transfer it to the warm pan.|Once the butter starts foaming, place the bread slices in the pan. Cook each side for 3 minutes on medium heat, until it gets golden and crispy.|In another pan, melt butter and add sugar to it. Keep the heat on low so the sugar melts and caramelises gradually, a high heat will cause it to burn.|As soon as the sugar melts and turns light golden brown, add the bananas and vanilla extract and allow the bananas to cook till the sugar is syrupy and the bananas have caramelized.|Place the french toasts in a plate, top with caramelized bananas and syrup.|Serve Caramelized Banana French Toast along with |for an indulgent breakfast, or even pack it in a snack box. Either way, it is delicious!",Richa Gupta,Tea Party Recipes|Banana Recipes,Toast Recipes
"Oats, Mango and Yogurt Breakfast Parfait",https://www.archanaskitchen.com/oats-mango-and-yogurt-breakfast-parfait,good,2612,4.9104134762634,"The Oats, Mango and Yogurt Breakfast Parfait Recipe is a simple wholesome breakfast dish that makes best use of seasonal fruits. Many of us find consuming oats boring, but when you make oats into a parfait and top it with fresh seasonal fruits and almonds then you will see a different light to oats. Cooking the oats in water and then tossing it in yogurt, brings out a very light touch to the oats, making it easily digestible as well. Serve the Oats, Mango and Yogurt Breakfast Parfait immediately for a quick and healthy summer breakfast. If you are looking for more Parfait recipes here are some of our favorites : ",French,World Breakfast,High Protein Vegetarian,5 M,25 M,Instant Oats (Oatmeal)|Hung Curd (Greek Yogurt)|Honey|Mango (Ripe)|Whole Almonds (Badam),"To begin making the Oats, Mango and Yogurt Breakfast Parfait, cook the oats according to the package instructions with water and not milk. Once the oats are cooked well, turn off the heat and allow it to cool.|Once the oats cools down, add the yogurt and honey and whisk it well. Adjust the sweetness by adding more or less honey.|Spoon the oats yogurt into small glasses or bowl, add the chopped mangoes on the top along with slivered almonds.|Serve the Oats, Mango and Yogurt Breakfast Parfait immediately for a quick and healthy summer breakfast.",Archana Doshi,Breakfast Recipe Ideas|Oats Recipes (Oatmeal)|Mango Recipes|Parfait Recipes,Parfait Recipes
Vegetable Au Gratin with Cauliflower Carrots and Beans,https://www.archanaskitchen.com/vegetable-au-gratin-with-cauliflower-carrots-and-beans,good,1546,4.853169469599,The Vegetable Au Gratin recipe is a classic french dish where the vegetables are baked along with a creamy white sauce called the béchamel sauce. This is one of the favorite dinners at home and I love it especially because it is quick to make and super healthy too. I like to make my bechamel sauce with different types of flours making it healthy and guilt free.You can bake with a combination of vegetable and play around with the recipe by adding more flavours.  Serve the Au Gratin along with toasted   and Tabasco Sauce for a cozy Lunch. If you are looking for more Gratin Recipes here are some : ,French,Main Course,Vegetarian,20 M,45 M,Sunflower Oil|Carrots (Gajjar)|Green beans (French Beans)|Cauliflower (gobi)|Salt|Dried oregano|Corn flour|Water|Milk|Cheese spread|Black pepper powder|Salt|Red Chilli flakes|Britannia Cheese Block,"To begin making the Vegetable Au Gratin, we will first preheat oven to 200 C.|Steam the vegetables with a little salt and pepper till half cooked (aldente) or you can alternatively stir fry them in a pan.|To stir fry the vegetables, into a pan heat oil over medium heat. Add the vegetables, sprinkle salt and stir fry until the vegetables are cooked. Keep the pan covered, so that the steam gets built inside and helps in cooking the vegetables faster. |Once the vegetables are cooked, stir in the herbs like oregano or mixed herbs and keep aside.|Transfer the vegetables to a baking dish. |The next step is to make the sauce for the Vegetable Au Gratin.|Into a sauce pan, dissolve the corn flour in water and milk until there are no lumps.|Place the saucepan over medium heat, add the salt and pepper and keep stirring the sauce until it thickens and once the sauce thickens, add the cream cheese into the sauce.|The addition of cream cheese, adds great taste to the bechamel sauce. This sauce can be used in making a white sauce pasta too. |Once done and the sauce is cooked well and the cheese is well combined, pour the sauce over the vegetables and give it a stir. |Sprinkle the cheese evenly on the top.|Bake the vegetable au gratin in the oven about 12 to 15 minutes or until the cheese has melted and has turned golden brown.|Remove the Vegetable Au Gratin from oven, let stand for 5  minutes before serving. Sprinkle Red Chilli Flakes or Tabasco Sauce on top and serve hot.|Serve the Au Gratin along with toasted | and Tabasco Sauce for a cozy Lunch.",Archana Doshi,Healthy Recipes|Cauliflower Recipes (Phool Gobi)|Bachelor Recipes|Gratin Recipes,Continental Food Recipes
Frozen Strawberry Souffle Recipe,https://www.archanaskitchen.com/frozen-strawberry-souffle,good,528,4.9090909090909,"This Frozen Strawberry Souffle is a light and creamy no bake dessert that looks like a souffle with none of the hassle of whipping eggs or the fear of it deflating before you are ready to eat. Perfect for the seasonal strawberries and the fast rising temperatures! This souffle is made with strawberry puree and whipped cream , set using some gelatin or agar agar. The souffle look is achieved by a simple parchment collar around the serving dish. It is a great make ahead dessert that tastes like ice cream when stone cold and more like a mousse as it starts warming up.  Serve this simple yet delicious Frozen Strawberry Souffle recipe as an after dinner dessert and have your guests drooling. Other recipes that you can try are:",French,Dessert,Vegetarian,15 M,180 M,Strawberries|Sugar|Lemon juice|Gelatin|Water|Heavy whipping cream,"To begin the preparation of Frozen Strawberry Souffle, wrap the outside of your ramekins tightly with parchment paper or aluminium foil strips and secure tightly with tape or thread. Each strip should be at least two inches wider than the height of the ramekin (so if your ramekin is 2 inches high, the strip should be 4 inches wide) and should be long enough to wrap around the outside of the ramekin twice.|Using an electric mixer or whisk, beat the cream to stiff peaks. Keep refrigerated until needed.|Purée cleaned strawberries with lime juice and sugar in a blender or food processor.|Strain to remove any grit or seeds.|Sprinkle gelatin over the cold water. Let it rest or bloom for 5 minutes. Then heat on stovetop or in microwave until gelatin dissolves.|Stir gelatin into the strawberry mixture.|Using a spatula, fold a quarter cup of the whipped cream into the strawberry mixture to lighten it.|Fold remaining cream until mousse is even pink throughout.|Fill the mousse into prepared ramekins, making sure the height is well above the lip of the ramekin. Smoothen the tops.|Freeze for at least three hours.Serve the Frozen Strawberry Souffle chilled after dinner.",akshatha,Strawberry Recipes|Frozen Dessert Recipes|Souffle Recipes,Dessert Recipes
Chocolate Salted Caramel Tart Recipe,https://www.archanaskitchen.com/chocolate-salted-caramel-tart-recipe,good,1024,4.455078125,"Chocolate salted Caramel Tart is a sinful dessert made by filling buttery sweet pastry with gooey caramel and rich dark chocolate ganache. The salted butter compliments the sweet caramel and bittersweet ganache. The different components can be made ahead.You can also garnish the tart with coarse sea salt crystals. Serve Chocolate salted Caramel Tart as it is or with whipped cream. If you like this recipe, you can also try other Tart recipes such as",French,Dessert,Vegetarian,60 M,45 M,All Purpose Flour (Maida)|Sugar|Butter (Salted)|Whole Egg|Water|Sugar|Water|Butter (Salted)|Heavy whipping cream|Heavy whipping cream|Dark chocolate|Sea salt,"To begin making the Chocolate salted Caramel Tart first, make the tart base.|Whisk the flour and sugar in a mixing bowl or a food processor.|Add the butter and rub with your finger tips (if making by hand) till the mixture resembles bread crumbs.|Whisk and add the egg. Stir in the water and mix till it forms coarse dough|Working quickly bring together to form a ball.|Wrap in a cling film and refrigerate for at least 1 hour. Preheat the oven to 190 deg C.|Grease 2 -7 inch tart pans. Cut the dough into 2 parts.|Roll out one dough ball on a lightly floured working surface .|You can roll it out between 2 parchment sheets. Measure the size of the tart pan and roll out the dough accordingly.|Place the rolled out dough into the tart pan and press .|Prick with fork all over the base and place it in the refrigerator for 15 minutes.|Repeat with the other dough ball and other pan.|Place a parchment paper or foil over the pastry shell and fill with baking beans (or any beans). Bake in the oven for about 10 minutes .|Take out the beans and paper and return to the oven to dry out the base.|Bake for 4-5 minutes more or till the edges turn golden.|Cool as it is on a wire rack. After 15 minutes take out the pastry from the pan.|The next step is to make the caramel syrup. Add the sugar and water in a heavy saucepan.|Cook on low flame till the sugar dissolves. Increase the heat to medium and let the mixture boil. Do not stir.|Once the mixture turns a dark caramel colour take it off the heat.|Working quickly add the butter and the cream. The mixture will bubble vigorously.|Return it to heat and cook for 1-2 minutes more. Cool and keep aside till needed|To make the Ganache, place the chopped chocolate in a heat rpoog bowl.|Warm the cream till you can see bubble appear on the edge. Pour the cream over the chocolate. Wait for a minute and mix.|Mix till all the chocolate mixes with the cream. Keep aside till required.|To make the Chocolate salted caramel tart, Pour the caramel over both the tart shells.|Refrigerate for 2-3 hours. Pour the ganache over the caramel and refrigerate for another hour. Sprinkle some sea salt over the tart and serve.",Madhuli Ajay,Chocolate Recipes|New Year Party Recipes,Dessert Recipes
